|    name | T-time [hrs] | T90 [s] | flux | flux_error | fluence | fluence_error | measured z |
| 150423A |        6.468 |    0.22 |  0.9 |      0.076 |    0.63 |         0.076 |      1.394 |
| 150120A |        2.963 |     1.2 |  1.8 |      0.151 |     1.4 |         0.151 |       0.46 |
| 141212A |       12.234 |     0.3 |  1.2 |      0.151 |    0.72 |         0.091 |      0.596 |
| 140903A |       15.008 |     0.3 |  2.5 |      0.151 |     1.4 |         0.076 |      0.351 |
| 140622A |        9.601 |    0.13 |  0.6 |      0.151 |    0.27 |         0.038 |      0.959 |
| 130603B |       15.821 |    0.18 |  6.4 |      0.227 |     6.3 |         0.227 |      0.356 |
| 101219A |        2.525 |     0.6 |  4.1 |      0.151 |     4.6 |         0.227 |      0.718 |
| 100724A |        0.705 |     1.4 |  1.9 |      0.151 |     1.6 |         0.151 |      1.288 |
|  090510 |        0.383 |     0.3 |  9.7 |      0.831 |     3.4 |         0.302 |      0.903 |
|  090426 |       12.813 |     1.2 |  2.4 |      0.227 |     1.8 |         0.227 |      2.609 |
|  071227 |        20.23 |     1.8 |  1.6 |      0.151 |     2.2 |         0.227 |      0.383 |
| 070724A |       10.897 |     0.4 |  1.0 |      0.151 |     0.3 |         0.053 |      0.457 |
| 070429B |        3.151 |    0.47 | 1.76 |      0.181 |    0.63 |         0.076 |      0.904 |
|  061217 |        3.669 |    0.21 | 1.49 |      0.181 |    0.42 |         0.053 |      0.827 |
|  061201 |       15.977 |    0.76 | 3.86 |      0.234 |    3.34 |         0.204 |      0.111 |
| 060502B |       17.411 |   0.131 | 0.62 |      0.091 |     0.4 |         0.038 |      0.287 |
| 051221A |        1.854 |     1.4 | 12.0 |      0.295 |    11.5 |         0.264 |      0.547 |
|  050813 |        6.753 |    0.45 | 0.94 |      0.174 |    0.44 |         0.083 |        1.8 |
| 050509B |        4.005 |   0.073 | 0.28 |      0.076 |    0.09 |         0.015 |      0.225 |
