|    name | T-time [hrs] | T90 [s] | flux | flux_error | fluence | fluence_error |
| 170728A |        6.891 |    1.25 |  1.1 |        0.2 |    0.71 |           0.1 |
| 170524A |       19.821 |     0.1 |  0.5 |        0.1 |    0.37 |           0.0 |
| 170428A |        9.228 |     0.2 |  2.8 |        0.2 |     2.8 |           0.2 |
| 170325A |        7.949 |     0.3 |  1.1 |        0.2 |    0.88 |           0.1 |
| 170112A |        2.033 |    0.06 |  0.3 |        0.1 |    0.13 |           0.0 |
| 161104A |        9.707 |     0.1 |  0.6 |        0.1 |    0.31 |           0.0 |
| 160714A |        2.321 |    0.35 |  1.1 |        0.2 |    0.69 |           0.1 |
| 160624A |        11.45 |     0.2 |  0.5 |        0.1 |     0.4 |           0.1 |
| 160601A |       14.717 |    0.12 |  0.9 |        0.2 |    0.66 |           0.1 |
| 160525B |        9.419 |    0.29 |  0.9 |        0.2 |    0.32 |           0.1 |
| 151205B |       21.721 |     1.4 |  0.7 |        0.2 |    0.77 |           0.1 |
| 151127A |        9.147 |    0.19 |  0.4 |        0.1 |    0.23 |           0.0 |
| 150831A |        10.57 |    1.15 |  3.4 |        0.2 |     3.8 |           0.2 |
| 150728A |       12.853 |    0.83 |  0.5 |        0.1 |    0.33 |           0.1 |
| 150710A |        0.467 |    0.15 |  0.7 |        0.1 |    0.71 |           0.1 |
| 150301A |        1.074 |    0.48 |  1.0 |        0.2 |    0.74 |           0.1 |
| 150101A |        6.481 |    0.06 |  0.3 |        0.1 |    0.23 |           0.0 |
| 140930B |       19.695 |    0.84 |  4.0 |        0.3 |     4.2 |           0.3 |
| 140606A |        10.97 |    0.34 |  0.5 |        0.1 |    0.51 |           0.1 |
| 140516A |       20.515 |    0.19 |  0.5 |        0.1 |    0.23 |           0.0 |
| 140320A |        2.212 |    0.45 |  0.6 |        0.2 |    0.49 |           0.1 |
| 140129B |       12.852 |    1.36 |  0.9 |        0.2 |    0.71 |           0.1 |
| 130626A |       10.851 |    0.16 |  0.9 |        0.2 |    0.52 |           0.1 |
| 130313A |       16.136 |    0.26 |  0.5 |        0.1 |    0.31 |           0.1 |
| 121226A |       19.162 |     1.0 |  1.6 |        0.2 |     1.4 |           0.2 |
| 120804A |        0.904 |    0.81 | 10.8 |        0.5 |     8.8 |           0.4 |
| 120630A |          0.0 |     0.6 |  0.7 |        0.2 |    0.61 |           0.1 |
| 120521A |        5.995 |    0.45 |  0.9 |        0.1 |    0.78 |           0.1 |
| 120403A |         1.09 |    1.25 |  1.1 |        0.2 |     1.0 |           0.2 |
| 120305A |       19.625 |     0.1 |  2.2 |        0.2 |     2.0 |           0.1 |
| 120229A |       14.586 |    0.22 |  0.5 |        0.1 |    0.41 |           0.1 |
| 111020A |        6.564 |     0.4 |  0.9 |        0.2 |    0.65 |           0.1 |
| 110112A |        4.205 |     0.5 |  0.5 |        0.2 |     0.3 |           0.1 |
| 101224A |        5.454 |     0.2 |  0.7 |        0.2 |    0.58 |           0.1 |
| 100702A |        1.063 |    0.16 |  2.0 |        0.2 |     1.2 |           0.1 |
| 100628A |        8.278 |   0.036 |  0.5 |        0.1 |    0.25 |           0.0 |
| 100117A |       21.105 |     0.3 |  2.9 |        0.3 |    0.93 |           0.1 |
| 091109B |       21.818 |     0.3 |  5.4 |        0.3 |     1.9 |           0.2 |
| 090815C |       23.361 |     0.6 |  0.6 |        0.2 |    0.44 |           0.1 |
|  090515 |        4.752 |   0.036 |  5.7 |        0.7 |     0.2 |           0.0 |
| 090417A |        13.29 |   0.072 |  3.6 |        0.8 |    0.19 |           0.0 |
| 090305A |        5.331 |     0.4 |  1.9 |        0.3 |    0.75 |           0.1 |
| 081226A |         1.06 |     0.4 |  2.4 |        0.3 |    0.99 |           0.1 |
|  080919 |        0.087 |     0.6 |  1.2 |        0.2 |    0.72 |           0.1 |
| 080702A |       11.845 |     0.5 |  0.7 |        0.2 |    0.36 |           0.1 |
|  080426 |       13.389 |     1.7 |  4.8 |        0.2 |     3.7 |           0.2 |
| 071112B |       18.392 |     0.3 |  1.3 |        0.2 |    0.48 |           0.1 |
|  070923 |       19.256 |    0.05 |  2.4 |        0.3 |     0.5 |           0.1 |
| 070810B |       15.321 |    0.08 |  1.8 |        0.3 |    0.12 |           0.0 |
|  070809 |       19.371 |     1.3 |  1.2 |        0.2 |     1.0 |           0.1 |
|  070729 |        0.431 |     0.9 |  1.0 |        0.2 |     1.0 |           0.2 |
|  070406 |        0.844 |     1.2 | 0.37 |        0.1 |    0.36 |           0.1 |
|  070209 |        3.562 |    0.09 | 0.38 |        0.1 |    0.22 |           0.0 |
|  060801 |       12.271 |    0.49 | 1.27 |        0.1 |     0.8 |           0.1 |
|  060313 |        0.202 |    0.74 | 12.1 |        0.3 |    11.3 |           0.3 |
|  051210 |        5.772 |     1.3 | 0.75 |        0.1 |    0.85 |           0.1 |
| 051105A |        6.445 |   0.093 | 0.32 |        0.1 |    0.22 |           0.0 |
|  050925 |        9.076 |    0.07 | 10.0 |        0.9 |    0.76 |           0.1 |
|  050202 |        3.588 |    0.27 | 0.55 |        0.1 |     0.3 |           0.0 |
